X,X1,X2,X3,X4,Q,Grate,Crate,Prate,last,DATE
C,G,P,G,C,4,0.333333333,0.333333333,0.333333333,C,1992/1/5
P,C,G,P,G,0,0.361111111,0.277777778,0.361111111,P,1992/1/12
G,P,C,G,P,0,0.393939394,0.303030303,0.303030303,G,1992/1/19
C,G,P,C,G,0,0.333333333,0.333333333,0.333333333,C,1992/1/26
C,C,G,P,C,0,0.37037037,0.259259259,0.37037037,P,1992/2/2
P,C,C,G,P,0,0.416666667,0.166666667,0.416666667,P,1992/2/9
G,P,C,C,G,0,0.476190476,0.19047619,0.333333333,G,1992/2/16
C,G,P,C,C,0,0.388888889,0.222222222,0.388888889,C,1992/2/23
P,C,G,P,C,0,0.466666667,0.066666667,0.466666667,P,1992/3/1
G,P,C,G,P,0,0.583333333,0.083333333,0.333333333,G,1992/3/8
C,G,P,C,G,0,0.444444444,0.111111111,0.444444444,C,1992/3/15
P,C,G,P,C,0,0.666666667,-0.333333333,0.666666667,P,1992/3/22
G,P,C,G,P,0,1.333333333,-0.666666667,0.333333333,G,1992/3/29
G,G,P,C,G,1,0.333333333,0.333333333,0.333333333,C,1992/4/5
C,G,G,P,C,0,0.277777778,0.361111111,0.361111111,C,1992/4/12
P,C,G,G,P,0,0.303030303,0.303030303,0.393939394,P,1992/4/19
G,P,C,G,G,0,0.333333333,0.333333333,0.333333333,G,1992/4/26
P,G,P,C,G,0,0.259259259,0.37037037,0.37037037,C,1992/5/3
C,P,G,P,C,0,0.291666667,0.416666667,0.291666667,C,1992/5/10
G,C,P,G,P,0,0.333333333,0.333333333,0.333333333,G,1992/5/17
C,G,C,P,G,0,0.222222222,0.388888889,0.388888889,P,1992/5/24
P,C,G,C,P,0,0.266666667,0.266666667,0.466666667,P,1992/5/31
G,P,C,G,C,0,0.333333333,0.333333333,0.333333333,G,1992/6/7
G,G,P,C,G,0,0.111111111,0.444444444,0.444444444,C,1992/6/14
P,G,G,P,C,0,-0.333333333,0.666666667,0.666666667,C,1992/6/21
P,P,G,G,P,0,-0.666666667,1.333333333,0.333333333,C,1992/6/28
G,P,P,G,G,2,0.333333333,0.333333333,0.333333333,C,1992/7/5
C,G,P,P,G,0,0.277777778,0.361111111,0.361111111,C,1992/7/12
P,C,G,P,P,0,0.303030303,0.303030303,0.393939394,P,1992/7/19
G,P,C,G,P,0,0.333333333,0.333333333,0.333333333,G,1992/7/26
C,G,P,C,G,0,0.259259259,0.37037037,0.37037037,C,1992/8/2
G,C,G,P,C,0,0.291666667,0.291666667,0.416666667,P,1992/8/9
P,G,C,G,P,0,0.19047619,0.333333333,0.476190476,P,1992/8/16
P,P,G,C,G,0,0.222222222,0.388888889,0.388888889,C,1992/8/23
C,P,P,G,C,0,0.266666667,0.466666667,0.266666667,C,1992/8/30
C,C,P,P,G,0,0.333333333,0.333333333,0.333333333,G,1992/9/6
G,C,C,P,P,0,0.444444444,0.111111111,0.444444444,G,1992/9/13
P,G,C,C,P,0,0.166666667,0.166666667,0.666666667,P,1992/9/20
C,P,G,C,C,0,0.333333333,0.333333333,0.333333333,C,1992/9/27
G,C,P,G,C,3,0.333333333,0.333333333,0.333333333,G,1992/10/4
C,G,C,P,G,0,0.277777778,0.361111111,0.361111111,P,1992/10/11
C,C,G,C,P,0,0.303030303,0.303030303,0.393939394,P,1992/10/18
P,C,C,G,C,0,0.333333333,0.233333333,0.433333333,P,1992/10/25
G,P,C,C,G,0,0.37037037,0.259259259,0.37037037,G,1992/11/1
